Size,Low,High,Duplicate,Unique,LinearSearch,Start1,End1,Total1,BinarySearch,Start2,End2,Total2
1000,1,1000,36.90%,63.10%,Success. Element 60 found at index 340,1645466087529,1645466087529,0 ms,Success. Element 60 found at index 53,1645466087529,1645466087529,0 ms
5000,1,5000,35.96%,64.04%,Element 4080 Not Found,1645466087529,1645466087530,1 ms,Element 4080 Not Found,1645466087531,1645466087531,0 ms
25000,1,25000,36.73%,63.27%,Element 20883 Not Found,1645466087532,1645466087537,5 ms,Element 20883 Not Found,1645466087541,1645466087541,0 ms
75000,1,75000,36.52%,63.48%,Element 71485 Not Found,1645466087545,1645466087559,14 ms,Element 71485 Not Found,1645466087575,1645466087575,0 ms
375000,1,375000,36.77%,63.23%,Element 22610 Not Found,1645466087594,1645466087663,69 ms,Element 22610 Not Found,1645466087761,1645466087761,0 ms
1875000,1,1875000,36.79%,63.21%,Element 475254 Not Found,1645466087863,1645466088202,339 ms,Element 475254 Not Found,1645466088938,1645466088938,0 ms
