algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,0
4,,0.0,6,2
8,,0.0,28,14
16,,0.0,120,59
32,,0.0,496,251
64,,0.0,2016,1010
128,,781.25,8128,4046
256,,3926.1,32640,16534
512,,14124.7,130816,65709
1024,,57990.35,523776,260779
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,2
8,,0.0,28,4
16,,0.0,120,9
32,,0.0,496,41
64,,0.0,2016,131
128,,781.3,8128,595
256,,1582.2,32640,1952
512,,9417.5,130816,7764
1024,,35791.1,523776,32632
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,6
8,,0.0,28,28
16,,0.0,120,120
32,,0.0,496,496
64,,781.2,2016,2016
128,,781.3,8128,8128
256,,4707.4,32640,32640
512,,18839.9,130816,130816
1024,,77525.95,523776,523776

Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,1
4,,0.0,9,3
8,,0.0,35,12
16,,0.0,135,38
32,,0.0,527,93
64,,0.0,2079,241
128,,781.65,8255,555
256,,1562.5,32895,1312
512,,7072.75,131327,2992
1024,,29105.95,524799,6623

Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,2
4,,0.0,9,2
8,,0.0,35,2
16,,0.0,135,2
32,,0.0,527,5
64,,0.0,2079,11
128,,700.85,8255,21
256,,1563.55,32895,39
512,,7962.45,131327,79
1024,,29689.8,524799,157

Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,2
4,,0.0,9,6
8,,0.0,35,20
16,,0.0,135,72
32,,0.0,527,272
64,,0.0,2079,1056
128,,0.0,8255,4160
256,,1563.0,32895,16512
512,,10195.4,131327,65792
1024,,41116.5,524799,262656


Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,0,1
4,,0.0,3,3
8,,0.0,13,7
16,,0.0,61,15
32,,0.0,256,31
64,,781.7,1025,63
128,,0.0,4066,127
256,,2343.7,15985,255
512,,7639.75,65491,511
1024,,30824.2,262797,1023


Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,2,3
8,,0.0,6,7
16,,0.0,10,15
32,,0.0,33,31
64,,0.0,151,63
128,,0.0,572,127
256,,781.25,1953,255
512,,780.75,8101,511
1024,,3925.55,33060,1023


Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,3
8,,0.0,28,7
16,,0.0,120,15
32,,0.0,496,31
64,,781.2,2016,63
128,,856.55,8128,127
256,,2344.1,32640,255
512,,14902.7,130816,511
1024,,60446.75,523776,1023
