algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,2,1024,20

size,avg_time,avg_comps,avg_swaps
2,4.4,1,0
4,3.75,6,2
8,11.7,28,14
16,41.8,120,62
32,139.25,496,252
64,541.6,2016,985
128,2162.05,8128,4105
256,8713.35,32640,16270
512,36894.8,130816,65786
1024,138200.35,523776,261995


Algorithm,MIN_SIZE,MAX_SIZE,TRIALS
Selection Sort,2,1024,20

SIZE,avg_time,avg_comps,avg_swaps
2,2.7,2,1
4,3.3,9,4
8,7.55,35,13
16,21.55,135,37
32,73.5,527,96
64,276.55,2079,244
128,1026.15,8255,577
256,3935.75,32895,1301
512,17671.75,131327,2967
1024,71552.1,524799,6676


Algorithm,MIN_SIZE,MAX_SIZE,TRIALS
Insertion Sort,2,1024,20

SIZE,avg_time,avg_comps,avg_swaps
2,2.4,0,1
4,2.2,3,3
8,5.55,14,7
16,16.55,60,15
32,56.0,246,31
64,224.6,1021,63
128,881.15,4111,127
256,3510.65,16500,255
512,15990.35,65289,511
1024,66790.5,263118,1023
