algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,0
4,,0.0,6,3
8,,0.0,28,13
16,,0.0,120,66
32,,0.0,496,257
64,,0.0,2016,1018
128,,781.35,8128,4062
256,,3926.05,32640,16172
512,,13370.55,130816,65938
1024,,56455.6,523776,260226
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,2
8,,0.0,28,4
16,,0.0,120,11
32,,0.0,496,42
64,,0.0,2016,154
128,,896.35,8128,522
256,,1465.35,32640,2124
512,,9419.0,130816,7970
1024,,35300.95,523776,33356
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,6
8,,0.0,28,28
16,,0.0,120,120
32,,0.0,496,496
64,,782.25,2016,2016
128,,781.25,8128,8128
256,,4709.1,32640,32640
512,,18770.15,130816,130816
1024,,76910.3,523776,523776
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,1
4,,0.0,9,4
8,,0.0,35,12
16,,0.0,135,39
32,,0.0,527,97
64,,784.35,2079,243
128,,500.9,8255,572
256,,1484.15,32895,1318
512,,8235.95,131327,2960
1024,,32214.0,524799,6684
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,2
4,,0.0,9,2
8,,0.0,35,2
16,,0.0,135,2
32,,0.0,527,5
64,,0.0,2079,12
128,,0.0,8255,21
256,,2344.15,32895,39
512,,7070.15,131327,80
1024,,32172.35,524799,159
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,2
4,,0.0,9,6
8,,0.0,35,20
16,,0.0,135,72
32,,0.0,527,272
64,,0.0,2079,1056
128,,781.25,8255,4160
256,,2339.5,32895,16512
512,,10979.2,131327,65792
1024,,43714.35,524799,262656
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,0,1
4,,0.0,3,3
8,,0.0,12,7
16,,0.0,60,15
32,,69.45,244,31
64,,100.95,1000,63
128,,50.65,4058,127
256,,1563.4,16499,255
512,,6271.1,65159,511
1024,,28353.65,263007,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,2,3
8,,0.0,5,7
16,,0.0,13,15
32,,0.0,35,31
64,,0.0,155,63
128,,0.0,600,127
256,,0.0,2126,255
512,,325.9,8501,511
1024,,3601.9,34290,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,3
8,,0.0,28,7
16,,0.0,120,15
32,,781.25,496,31
64,,0.0,2016,63
128,,801.85,8128,127
256,,3125.45,32640,255
512,,13321.55,130816,511
1024,,53450.25,523776,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,4,4
8,,0.0,15,15
16,,0.0,45,45
32,,0.0,121,121
64,,0.0,303,303
128,,0.0,738,738
256,,0.0,1725,1725
512,,1717.7,3957,3957
1024,,2118.7,8943,8943
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge,almost-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,4,4
8,,375.9,14,14
16,,0.0,36,36
32,,0.0,96,96
64,,0.0,252,252
128,,0.0,605,605
256,,425.9,1458,1458
512,,782.25,3374,3374
1024,,2343.75,7846,7846
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge,reverse-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,4,4
8,,0.0,12,12
16,,0.0,32,32
32,,0.0,80,80
64,,0.0,192,192
128,,0.0,448,448
256,,675.95,1024,1024
512,,125.9,2304,2304
1024,,2344.75,5120,5120
