algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.1,1,0
4,,3.6,6,3
8,,9.8,28,13
16,,33.35,120,61
32,,129.25,496,243
64,,485.6,2016,984
128,,1951.5,8128,4091
256,,7726.1,32640,16119
512,,36156.0,130816,65020
1024,,145587.4,523776,261098
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.05,1,1
4,,5.65,6,2
8,,13.85,28,5
16,,32.25,120,10
32,,87.05,496,42
64,,336.3,2016,154
128,,1375.3,8128,507
256,,5385.05,32640,2048
512,,22379.65,130816,8111
1024,,88811.6,523776,31815
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.8,1,1
4,,5.0,6,6
8,,16.6,28,28
16,,43.25,120,120
32,,174.05,496,496
64,,718.25,2016,2016
128,,2879.8,8128,8128
256,,11949.8,32640,32640
512,,51989.35,130816,130816
1024,,208169.8,523776,523776
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.85,2,1
4,,3.35,9,5
8,,7.7,35,14
16,,21.6,135,37
32,,77.15,527,97
64,,268.0,2079,235
128,,1070.25,8255,563
256,,4416.65,32895,1315
512,,18675.6,131327,2962
1024,,69575.1,524799,6676
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.15,2,2
4,,3.35,9,2
8,,7.05,35,2
16,,20.95,135,2
32,,83.25,527,6
64,,281.4,2079,11
128,,1097.8,8255,21
256,,4336.85,32895,39
512,,17612.85,131327,79
1024,,72337.2,524799,159
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.95,2,2
4,,3.35,9,6
8,,7.9,35,20
16,,23.2,135,72
32,,82.75,527,272
64,,335.4,2079,1056
128,,1276.8,8255,4160
256,,5173.3,32895,16512
512,,23166.35,131327,65792
1024,,92277.25,524799,262656
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,1.4,0,1
4,,2.25,2,3
8,,7.1,11,7
16,,22.2,63,15
32,,62.15,249,31
64,,282.55,982,63
128,,996.6,4129,127
256,,3965.9,16246,255
512,,16251.35,65752,511
1024,,71051.65,261376,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,1.65,1,1
4,,2.4,2,3
8,,4.0,5,7
16,,7.7,10,15
32,,19.45,33,31
64,,56.6,144,63
128,,178.65,595,127
256,,555.35,2077,255
512,,2393.95,8569,511
1024,,9283.6,31745,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,2.0,1,1
4,,3.8,6,3
8,,10.15,28,7
16,,33.2,120,15
32,,117.4,496,31
64,,486.05,2016,63
128,,1976.1,8128,127
256,,7820.8,32640,255
512,,32247.4,130816,511
1024,,135495.0,523776,1023
