algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,0
4,,0.0,6,3
8,,0.0,28,13
16,,0.0,120,57
32,,0.0,496,242
64,,325.35,2016,1008
128,,781.65,8128,3983
256,,3125.15,32640,16550
512,,14878.45,130816,65988
1024,,57301.45,523776,260649
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,2
8,,0.0,28,5
16,,0.0,120,13
32,,781.85,496,40
64,,0.0,2016,148
128,,0.0,8128,538
256,,2343.75,32640,1987
512,,8636.25,130816,8092
1024,,36144.75,523776,32753
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,6
8,,0.0,28,28
16,,0.0,120,120
32,,0.0,496,496
64,,781.3,2016,2016
128,,1238.3,8128,8128
256,,4229.35,32640,32640
512,,19567.9,130816,130816
1024,,76929.1,523776,523776
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,0
4,,0.0,9,3
8,,0.0,35,13
16,,0.0,135,38
32,,0.0,527,98
64,,781.25,2079,236
128,,0.0,8255,562
256,,1812.8,32895,1325
512,,6996.85,131327,2968
1024,,30596.9,524799,6639
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,2
4,,0.0,9,2
8,,0.0,35,2
16,,0.0,135,2
32,,0.0,527,5
64,,0.0,2079,12
128,,781.25,8255,21
256,,1107.15,32895,39
512,,7052.65,131327,78
1024,,29276.95,524799,159
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,2
4,,0.0,9,6
8,,0.0,35,20
16,,0.0,135,72
32,,0.0,527,272
64,,203.05,2079,1056
128,,301.55,8255,4160
256,,1582.15,32895,16512
512,,10197.55,131327,65792
1024,,41270.05,524799,262656
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,0,1
4,,0.0,3,3
8,,0.0,14,7
16,,0.0,63,15
32,,0.0,235,31
64,,0.0,1014,63
128,,300.35,4018,127
256,,1562.95,16301,255
512,,7091.9,64787,511
1024,,29320.55,260825,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,2,3
8,,0.0,5,7
16,,0.0,9,15
32,,0.0,45,31
64,,0.0,155,63
128,,0.0,570,127
256,,475.35,2104,255
512,,781.7,8691,511
1024,,3925.7,32592,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,3
8,,0.0,28,7
16,,0.0,120,15
32,,0.0,496,31
64,,0.0,2016,63
128,,781.25,8128,127
256,,3275.3,32640,255
512,,12410.25,130816,511
1024,,54176.1,523776,1023
