algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.0,1,0
4,,3.7,6,3
8,,10.0,28,12
16,,38.25,120,59
32,,128.3,496,256
64,,530.9,2016,1009
128,,2140.3,8128,3995
256,,8811.85,32640,16528
512,,35170.5,130816,65625
1024,,149036.7,523776,263487
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.0,1,1
4,,3.45,6,2
8,,9.2,28,5
16,,23.9,120,9
32,,100.8,496,38
64,,382.4,2016,166
128,,1434.95,8128,566
256,,5694.05,32640,2003
512,,21528.85,130816,7743
1024,,95027.05,523776,33526
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.45,1,1
4,,6.6,6,6
8,,12.95,28,28
16,,43.4,120,120
32,,176.05,496,496
64,,779.35,2016,2016
128,,3160.5,8128,8128
256,,12816.35,32640,32640
512,,50771.35,130816,130816
1024,,214468.2,523776,523776
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.7,2,1
4,,3.15,9,4
8,,7.65,35,14
16,,21.05,135,35
32,,76.55,527,97
64,,283.8,2079,240
128,,1077.2,8255,568
256,,4156.15,32895,1316
512,,18252.6,131327,2986
1024,,71700.5,524799,6689
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.9,2,2
4,,3.15,9,2
8,,6.8,35,2
16,,18.9,135,2
32,,80.05,527,6
64,,270.65,2079,12
128,,1080.2,8255,21
256,,4201.2,32895,39
512,,18091.65,131327,79
1024,,73014.75,524799,158
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.95,2,2
4,,3.1,9,6
8,,7.9,35,20
16,,23.1,135,72
32,,82.4,527,272
64,,323.6,2079,1056
128,,1271.4,8255,4160
256,,6207.35,32895,16512
512,,22340.5,131327,65792
1024,,86665.0,524799,262656
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,1.5,0,1
4,,2.35,3,3
8,,5.3,12,7
16,,16.8,63,15
32,,56.4,249,31
64,,246.6,1021,63
128,,929.3,4072,127
256,,3508.5,16436,255
512,,15219.55,65787,511
1024,,65727.6,261794,1023
