algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,0
4,,0.0,6,3
8,,0.0,28,13
16,,0.0,120,58
32,,101.25,496,230
64,,0.0,2016,990
128,,902.25,8128,3944
256,,3488.55,32640,16331
512,,13964.55,130816,65367
1024,,58392.9,523776,262268
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,2
8,,0.0,28,5
16,,0.0,120,11
32,,0.0,496,43
64,,0.0,2016,170
128,,501.0,8128,526
256,,1754.5,32640,1925
512,,9454.05,130816,8399
1024,,35312.7,523776,32367
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,1,1
4,,0.0,6,6
8,,0.0,28,28
16,,251.7,120,120
32,,0.0,496,496
64,,351.05,2016,2016
128,,1003.5,8128,8128
256,,4900.5,32640,32640
512,,18347.3,130816,130816
1024,,76323.3,523776,523776
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,0
4,,0.0,9,4
8,,0.0,35,13
16,,0.0,135,37
32,,0.0,527,97
64,,479.6,2079,238
128,,451.05,8255,576
256,,1473.2,32895,1322
512,,6994.7,131327,2978
1024,,29360.1,524799,6661
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,2
4,,0.0,9,2
8,,0.0,35,2
16,,0.0,135,2
32,,0.0,527,5
64,,351.7,2079,11
128,,0.0,8255,21
256,,1767.3,32895,39
512,,7256.45,131327,80
1024,,28582.05,524799,160
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,2,2
4,,0.0,9,6
8,,0.0,35,20
16,,0.0,135,72
32,,0.0,527,272
64,,400.4,2079,1056
128,,502.25,8255,4160
256,,2511.15,32895,16512
512,,9969.05,131327,65792
1024,,37504.5,524799,262656
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,0.0,0,1
4,,0.0,3,3
8,,0.0,13,7
16,,0.0,58,15
32,,0.0,244,31
64,,479.7,1019,63
128,,501.5,4094,127
256,,1539.8,16385,255
512,,6968.6,65256,511
1024,,28645.6,263873,1023
