algorithm,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,2,1024,20

size,avg_time,avg_comps,avg_swaps
2,1.9,1,0
4,3.4,6,3
8,9.95,28,15
16,45.9,120,62
32,239.7,496,245
64,978.0,2016,957
128,2315.4,8128,4020
256,8690.9,32640,16138
512,35678.35,130816,66028
1024,147154.4,523776,260920


Algorithm,MIN_SIZE,MAX_SIZE,TRIALS
Selection Sort,2,1024,20

SIZE,avg_time,avg_comps,avg_swaps
2,1.9,1,0
4,3.8,6,3
8,11.25,28,14
16,31.5,120,59
32,132.5,496,252
64,503.0,2016,987
128,2133.05,8128,4051
256,9635.05,32640,16337
512,34142.4,130816,65167
1024,146372.35,523776,263342


Algorithm,MIN_SIZE,MAX_SIZE,TRIALS
Insertion Sort,2,1024,20

SIZE,avg_time,avg_comps,avg_swaps
2,1.85,1,0
4,3.35,6,3
8,8.9,28,12
16,30.6,120,60
32,141.0,496,246
64,486.65,2016,1000
128,1971.9,8128,3989
256,8213.75,32640,16015
512,36564.4,130816,66121
1024,150260.1,523776,262578
