algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.9,1,0
4,,3.55,6,3
8,,9.3,28,13
16,,32.05,120,62
32,,122.65,496,252
64,,548.7,2016,1020
128,,2165.15,8128,3978
256,,8803.05,32640,16292
512,,39492.3,130816,64457
1024,,143443.55,523776,262366
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.85,1,1
4,,3.25,6,1
8,,7.65,28,4
16,,21.75,120,9
32,,79.55,496,40
64,,317.05,2016,158
128,,1238.8,8128,587
256,,4946.85,32640,2026
512,,21988.2,130816,8414
1024,,90314.05,523776,31714
algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
bubble_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.1,1,1
4,,5.3,6,6
8,,16.15,28,28
16,,47.45,120,120
32,,192.0,496,496
64,,772.75,2016,2016
128,,3037.9,8128,8128
256,,12201.2,32640,32640
512,,51927.7,130816,130816
1024,,213102.9,523776,523776
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,random,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.9,2,0
4,,3.7,9,4
8,,8.1,35,14
16,,22.8,135,39
32,,76.95,527,95
64,,283.35,2079,242
128,,1043.15,8255,562
256,,4306.7,32895,1309
512,,16780.45,131327,3004
1024,,67265.7,524799,6659
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,almost-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,1.95,2,2
4,,3.05,9,2
8,,6.5,35,2
16,,18.5,135,2
32,,65.8,527,5
64,,249.75,2079,12
128,,971.2,8255,21
256,,3792.95,32895,39
512,,16499.45,131327,80
1024,,66732.5,524799,159
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
selection_sort,reverse-sorted,2,1024,20
SIZE,,avg_time,avg_comps,avg_swaps
2,,2.05,2,2
4,,3.25,9,6
8,,7.95,35,20
16,,22.8,135,72
32,,82.6,527,272
64,,323.9,2079,1056
128,,1271.2,8255,4160
256,,5029.45,32895,16512
512,,21380.3,131327,65792
1024,,86868.8,524799,262656
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,1.45,0,1
4,,2.35,3,3
8,,5.55,13,7
16,,15.8,58,15
32,,55.75,247,31
64,,218.2,1001,63
128,,887.85,4146,127
256,,3589.0,16366,255
512,,15040.35,64934,511
1024,,65377.45,261872,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,almost-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,1.6,1,1
4,,2.05,1,3
8,,3.65,4,7
16,,6.75,10,15
32,,15.75,37,31
64,,47.15,161,63
128,,145.0,569,127
256,,488.15,2087,255
512,,2064.35,8417,511
1024,,8512.6,33286,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
insertion_sort,reverse-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,1.55,1,1
4,,2.55,6,3
8,,7.85,28,7
16,,27.55,120,15
32,,109.15,496,31
64,,438.55,2016,63
128,,1756.0,8128,127
256,,7126.45,32640,255
512,,29649.25,130816,511
1024,,126481.5,523776,1023
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge,random,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,2.65,1,1
4,,5.75,4,4
8,,14.0,15,15
16,,33.45,45,45
32,,77.35,121,121
64,,181.95,304,304
128,,430.7,736,736
256,,974.15,1725,1725
512,,2174.4,3957,3957
1024,,4812.25,8951,8951
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge,almost-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,2.4,1,1
4,,5.7,4,4
8,,12.7,13,13
16,,29.2,36,36
32,,68.25,99,99
64,,155.85,243,243
128,,369.75,610,610
256,,843.1,1463,1463
512,,1897.25,3397,3397
1024,,4402.45,7830,7830
Algorithm,initial_configuration,MIN_SIZE,MAX_SIZE,TRIALS
merge,reverse-sorted,2,1024,20

SIZE,,avg_time,avg_comps,avg_swaps
2,,2.3,1,1
4,,5.25,4,4
8,,12.15,12,12
16,,27.6,32,32
32,,66.1,80,80
64,,134.4,192,192
128,,299.85,448,448
256,,662.3,1024,1024
512,,1432.8,2304,2304
1024,,3103.7,5120,5120
